claim_id,split,claim_status,variation,file_path
19,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\19_v1.jpg
19,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\19_v2.jpg
20,train,Valid,1,output\tm_dataset\train\Valid_Claim\20_v1.jpg
20,train,Valid,2,output\tm_dataset\train\Valid_Claim\20_v2.jpg
21,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\21_v1.jpg
21,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\21_v2.jpg
22,train,Valid,1,output\tm_dataset\train\Valid_Claim\22_v1.jpg
22,train,Valid,2,output\tm_dataset\train\Valid_Claim\22_v2.jpg
25,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\25_v1.jpg
25,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\25_v2.jpg
26,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\26_v1.jpg
26,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\26_v2.jpg
27,train,Manual Review,1,output\tm_dataset\train\Manual_Review\27_v1.jpg
27,train,Manual Review,2,output\tm_dataset\train\Manual_Review\27_v2.jpg
28,train,Valid,1,output\tm_dataset\train\Valid_Claim\28_v1.jpg
28,train,Valid,2,output\tm_dataset\train\Valid_Claim\28_v2.jpg
29,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\29_v1.jpg
29,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\29_v2.jpg
30,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\30_v1.jpg
30,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\30_v2.jpg
34,train,Manual Review,1,output\tm_dataset\train\Manual_Review\34_v1.jpg
34,train,Manual Review,2,output\tm_dataset\train\Manual_Review\34_v2.jpg
36,train,Valid,1,output\tm_dataset\train\Valid_Claim\36_v1.jpg
36,train,Valid,2,output\tm_dataset\train\Valid_Claim\36_v2.jpg
37,train,Manual Review,1,output\tm_dataset\train\Manual_Review\37_v1.jpg
37,train,Manual Review,2,output\tm_dataset\train\Manual_Review\37_v2.jpg
38,train,Manual Review,1,output\tm_dataset\train\Manual_Review\38_v1.jpg
38,train,Manual Review,2,output\tm_dataset\train\Manual_Review\38_v2.jpg
39,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\39_v1.jpg
39,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\39_v2.jpg
41,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\41_v1.jpg
41,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\41_v2.jpg
43,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\43_v1.jpg
43,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\43_v2.jpg
44,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\44_v1.jpg
44,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\44_v2.jpg
47,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\47_v1.jpg
47,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\47_v2.jpg
51,train,Valid,1,output\tm_dataset\train\Valid_Claim\51_v1.jpg
51,train,Valid,2,output\tm_dataset\train\Valid_Claim\51_v2.jpg
52,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\52_v1.jpg
52,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\52_v2.jpg
53,train,Valid,1,output\tm_dataset\train\Valid_Claim\53_v1.jpg
53,train,Valid,2,output\tm_dataset\train\Valid_Claim\53_v2.jpg
54,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\54_v1.jpg
54,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\54_v2.jpg
55,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\55_v1.jpg
55,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\55_v2.jpg
56,train,Manual Review,1,output\tm_dataset\train\Manual_Review\56_v1.jpg
56,train,Manual Review,2,output\tm_dataset\train\Manual_Review\56_v2.jpg
57,train,Manual Review,1,output\tm_dataset\train\Manual_Review\57_v1.jpg
57,train,Manual Review,2,output\tm_dataset\train\Manual_Review\57_v2.jpg
58,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\58_v1.jpg
58,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\58_v2.jpg
59,train,Valid,1,output\tm_dataset\train\Valid_Claim\59_v1.jpg
59,train,Valid,2,output\tm_dataset\train\Valid_Claim\59_v2.jpg
60,train,Valid,1,output\tm_dataset\train\Valid_Claim\60_v1.jpg
60,train,Valid,2,output\tm_dataset\train\Valid_Claim\60_v2.jpg
61,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\61_v1.jpg
61,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\61_v2.jpg
65,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\65_v1.jpg
65,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\65_v2.jpg
66,train,Valid,1,output\tm_dataset\train\Valid_Claim\66_v1.jpg
66,train,Valid,2,output\tm_dataset\train\Valid_Claim\66_v2.jpg
67,train,Manual Review,1,output\tm_dataset\train\Manual_Review\67_v1.jpg
67,train,Manual Review,2,output\tm_dataset\train\Manual_Review\67_v2.jpg
68,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\68_v1.jpg
68,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\68_v2.jpg
69,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\69_v1.jpg
69,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\69_v2.jpg
70,train,Manual Review,1,output\tm_dataset\train\Manual_Review\70_v1.jpg
70,train,Manual Review,2,output\tm_dataset\train\Manual_Review\70_v2.jpg
72,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\72_v1.jpg
72,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\72_v2.jpg
74,train,Manual Review,1,output\tm_dataset\train\Manual_Review\74_v1.jpg
74,train,Manual Review,2,output\tm_dataset\train\Manual_Review\74_v2.jpg
75,train,Valid,1,output\tm_dataset\train\Valid_Claim\75_v1.jpg
75,train,Valid,2,output\tm_dataset\train\Valid_Claim\75_v2.jpg
76,train,Manual Review,1,output\tm_dataset\train\Manual_Review\76_v1.jpg
76,train,Manual Review,2,output\tm_dataset\train\Manual_Review\76_v2.jpg
77,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\77_v1.jpg
77,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\77_v2.jpg
78,train,Manual Review,1,output\tm_dataset\train\Manual_Review\78_v1.jpg
78,train,Manual Review,2,output\tm_dataset\train\Manual_Review\78_v2.jpg
81,train,Manual Review,1,output\tm_dataset\train\Manual_Review\81_v1.jpg
81,train,Manual Review,2,output\tm_dataset\train\Manual_Review\81_v2.jpg
82,train,Manual Review,1,output\tm_dataset\train\Manual_Review\82_v1.jpg
82,train,Manual Review,2,output\tm_dataset\train\Manual_Review\82_v2.jpg
84,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\84_v1.jpg
84,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\84_v2.jpg
85,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\85_v1.jpg
85,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\85_v2.jpg
86,train,Valid,1,output\tm_dataset\train\Valid_Claim\86_v1.jpg
86,train,Valid,2,output\tm_dataset\train\Valid_Claim\86_v2.jpg
87,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\87_v1.jpg
87,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\87_v2.jpg
88,train,Valid,1,output\tm_dataset\train\Valid_Claim\88_v1.jpg
88,train,Valid,2,output\tm_dataset\train\Valid_Claim\88_v2.jpg
89,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\89_v1.jpg
89,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\89_v2.jpg
90,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\90_v1.jpg
90,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\90_v2.jpg
91,train,Manual Review,1,output\tm_dataset\train\Manual_Review\91_v1.jpg
91,train,Manual Review,2,output\tm_dataset\train\Manual_Review\91_v2.jpg
92,train,Valid,1,output\tm_dataset\train\Valid_Claim\92_v1.jpg
92,train,Valid,2,output\tm_dataset\train\Valid_Claim\92_v2.jpg
93,train,Manual Review,1,output\tm_dataset\train\Manual_Review\93_v1.jpg
93,train,Manual Review,2,output\tm_dataset\train\Manual_Review\93_v2.jpg
94,train,Valid,1,output\tm_dataset\train\Valid_Claim\94_v1.jpg
94,train,Valid,2,output\tm_dataset\train\Valid_Claim\94_v2.jpg
95,train,Valid,1,output\tm_dataset\train\Valid_Claim\95_v1.jpg
95,train,Valid,2,output\tm_dataset\train\Valid_Claim\95_v2.jpg
97,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\97_v1.jpg
97,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\97_v2.jpg
98,train,Valid,1,output\tm_dataset\train\Valid_Claim\98_v1.jpg
98,train,Valid,2,output\tm_dataset\train\Valid_Claim\98_v2.jpg
99,train,Manual Review,1,output\tm_dataset\train\Manual_Review\99_v1.jpg
99,train,Manual Review,2,output\tm_dataset\train\Manual_Review\99_v2.jpg
100,train,Valid,1,output\tm_dataset\train\Valid_Claim\100_v1.jpg
100,train,Valid,2,output\tm_dataset\train\Valid_Claim\100_v2.jpg
101,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\101_v1.jpg
101,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\101_v2.jpg
103,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\103_v1.jpg
103,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\103_v2.jpg
104,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\104_v1.jpg
104,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\104_v2.jpg
105,train,Manual Review,1,output\tm_dataset\train\Manual_Review\105_v1.jpg
105,train,Manual Review,2,output\tm_dataset\train\Manual_Review\105_v2.jpg
106,train,Valid,1,output\tm_dataset\train\Valid_Claim\106_v1.jpg
106,train,Valid,2,output\tm_dataset\train\Valid_Claim\106_v2.jpg
107,train,Valid,1,output\tm_dataset\train\Valid_Claim\107_v1.jpg
107,train,Valid,2,output\tm_dataset\train\Valid_Claim\107_v2.jpg
108,train,Valid,1,output\tm_dataset\train\Valid_Claim\108_v1.jpg
108,train,Valid,2,output\tm_dataset\train\Valid_Claim\108_v2.jpg
109,train,Manual Review,1,output\tm_dataset\train\Manual_Review\109_v1.jpg
109,train,Manual Review,2,output\tm_dataset\train\Manual_Review\109_v2.jpg
110,train,Manual Review,1,output\tm_dataset\train\Manual_Review\110_v1.jpg
110,train,Manual Review,2,output\tm_dataset\train\Manual_Review\110_v2.jpg
111,train,Manual Review,1,output\tm_dataset\train\Manual_Review\111_v1.jpg
111,train,Manual Review,2,output\tm_dataset\train\Manual_Review\111_v2.jpg
112,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\112_v1.jpg
112,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\112_v2.jpg
114,train,Valid,1,output\tm_dataset\train\Valid_Claim\114_v1.jpg
114,train,Valid,2,output\tm_dataset\train\Valid_Claim\114_v2.jpg
117,train,Valid,1,output\tm_dataset\train\Valid_Claim\117_v1.jpg
117,train,Valid,2,output\tm_dataset\train\Valid_Claim\117_v2.jpg
118,train,Manual Review,1,output\tm_dataset\train\Manual_Review\118_v1.jpg
118,train,Manual Review,2,output\tm_dataset\train\Manual_Review\118_v2.jpg
120,train,Valid,1,output\tm_dataset\train\Valid_Claim\120_v1.jpg
120,train,Valid,2,output\tm_dataset\train\Valid_Claim\120_v2.jpg
127,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\127_v1.jpg
127,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\127_v2.jpg
129,train,Manual Review,1,output\tm_dataset\train\Manual_Review\129_v1.jpg
129,train,Manual Review,2,output\tm_dataset\train\Manual_Review\129_v2.jpg
130,train,Valid,1,output\tm_dataset\train\Valid_Claim\130_v1.jpg
130,train,Valid,2,output\tm_dataset\train\Valid_Claim\130_v2.jpg
134,train,Valid,1,output\tm_dataset\train\Valid_Claim\134_v1.jpg
134,train,Valid,2,output\tm_dataset\train\Valid_Claim\134_v2.jpg
137,train,Valid,1,output\tm_dataset\train\Valid_Claim\137_v1.jpg
137,train,Valid,2,output\tm_dataset\train\Valid_Claim\137_v2.jpg
138,train,Manual Review,1,output\tm_dataset\train\Manual_Review\138_v1.jpg
138,train,Manual Review,2,output\tm_dataset\train\Manual_Review\138_v2.jpg
139,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\139_v1.jpg
139,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\139_v2.jpg
140,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\140_v1.jpg
140,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\140_v2.jpg
141,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\141_v1.jpg
141,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\141_v2.jpg
142,train,Valid,1,output\tm_dataset\train\Valid_Claim\142_v1.jpg
142,train,Valid,2,output\tm_dataset\train\Valid_Claim\142_v2.jpg
143,train,Valid,1,output\tm_dataset\train\Valid_Claim\143_v1.jpg
143,train,Valid,2,output\tm_dataset\train\Valid_Claim\143_v2.jpg
144,train,Valid,1,output\tm_dataset\train\Valid_Claim\144_v1.jpg
144,train,Valid,2,output\tm_dataset\train\Valid_Claim\144_v2.jpg
145,train,Manual Review,1,output\tm_dataset\train\Manual_Review\145_v1.jpg
145,train,Manual Review,2,output\tm_dataset\train\Manual_Review\145_v2.jpg
150,train,Manual Review,1,output\tm_dataset\train\Manual_Review\150_v1.jpg
150,train,Manual Review,2,output\tm_dataset\train\Manual_Review\150_v2.jpg
151,train,Manual Review,1,output\tm_dataset\train\Manual_Review\151_v1.jpg
151,train,Manual Review,2,output\tm_dataset\train\Manual_Review\151_v2.jpg
152,train,Manual Review,1,output\tm_dataset\train\Manual_Review\152_v1.jpg
152,train,Manual Review,2,output\tm_dataset\train\Manual_Review\152_v2.jpg
153,train,Manual Review,1,output\tm_dataset\train\Manual_Review\153_v1.jpg
153,train,Manual Review,2,output\tm_dataset\train\Manual_Review\153_v2.jpg
154,train,Valid,1,output\tm_dataset\train\Valid_Claim\154_v1.jpg
154,train,Valid,2,output\tm_dataset\train\Valid_Claim\154_v2.jpg
155,train,Valid,1,output\tm_dataset\train\Valid_Claim\155_v1.jpg
155,train,Valid,2,output\tm_dataset\train\Valid_Claim\155_v2.jpg
156,train,Manual Review,1,output\tm_dataset\train\Manual_Review\156_v1.jpg
156,train,Manual Review,2,output\tm_dataset\train\Manual_Review\156_v2.jpg
157,train,Manual Review,1,output\tm_dataset\train\Manual_Review\157_v1.jpg
157,train,Manual Review,2,output\tm_dataset\train\Manual_Review\157_v2.jpg
158,train,Manual Review,1,output\tm_dataset\train\Manual_Review\158_v1.jpg
158,train,Manual Review,2,output\tm_dataset\train\Manual_Review\158_v2.jpg
159,train,Valid,1,output\tm_dataset\train\Valid_Claim\159_v1.jpg
159,train,Valid,2,output\tm_dataset\train\Valid_Claim\159_v2.jpg
160,train,Valid,1,output\tm_dataset\train\Valid_Claim\160_v1.jpg
160,train,Valid,2,output\tm_dataset\train\Valid_Claim\160_v2.jpg
163,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\163_v1.jpg
163,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\163_v2.jpg
164,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\164_v1.jpg
164,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\164_v2.jpg
167,train,Manual Review,1,output\tm_dataset\train\Manual_Review\167_v1.jpg
167,train,Manual Review,2,output\tm_dataset\train\Manual_Review\167_v2.jpg
168,train,Valid,1,output\tm_dataset\train\Valid_Claim\168_v1.jpg
168,train,Valid,2,output\tm_dataset\train\Valid_Claim\168_v2.jpg
170,train,Manual Review,1,output\tm_dataset\train\Manual_Review\170_v1.jpg
170,train,Manual Review,2,output\tm_dataset\train\Manual_Review\170_v2.jpg
171,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\171_v1.jpg
171,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\171_v2.jpg
172,train,Manual Review,1,output\tm_dataset\train\Manual_Review\172_v1.jpg
172,train,Manual Review,2,output\tm_dataset\train\Manual_Review\172_v2.jpg
173,train,Valid,1,output\tm_dataset\train\Valid_Claim\173_v1.jpg
173,train,Valid,2,output\tm_dataset\train\Valid_Claim\173_v2.jpg
175,train,Valid,1,output\tm_dataset\train\Valid_Claim\175_v1.jpg
175,train,Valid,2,output\tm_dataset\train\Valid_Claim\175_v2.jpg
177,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\177_v1.jpg
177,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\177_v2.jpg
178,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\178_v1.jpg
178,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\178_v2.jpg
179,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\179_v1.jpg
179,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\179_v2.jpg
180,train,Manual Review,1,output\tm_dataset\train\Manual_Review\180_v1.jpg
180,train,Manual Review,2,output\tm_dataset\train\Manual_Review\180_v2.jpg
181,train,Valid,1,output\tm_dataset\train\Valid_Claim\181_v1.jpg
181,train,Valid,2,output\tm_dataset\train\Valid_Claim\181_v2.jpg
182,train,Valid,1,output\tm_dataset\train\Valid_Claim\182_v1.jpg
182,train,Valid,2,output\tm_dataset\train\Valid_Claim\182_v2.jpg
183,train,Valid,1,output\tm_dataset\train\Valid_Claim\183_v1.jpg
183,train,Valid,2,output\tm_dataset\train\Valid_Claim\183_v2.jpg
184,train,Valid,1,output\tm_dataset\train\Valid_Claim\184_v1.jpg
184,train,Valid,2,output\tm_dataset\train\Valid_Claim\184_v2.jpg
185,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\185_v1.jpg
185,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\185_v2.jpg
186,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\186_v1.jpg
186,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\186_v2.jpg
187,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\187_v1.jpg
187,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\187_v2.jpg
188,train,Valid,1,output\tm_dataset\train\Valid_Claim\188_v1.jpg
188,train,Valid,2,output\tm_dataset\train\Valid_Claim\188_v2.jpg
190,train,Valid,1,output\tm_dataset\train\Valid_Claim\190_v1.jpg
190,train,Valid,2,output\tm_dataset\train\Valid_Claim\190_v2.jpg
193,train,Manual Review,1,output\tm_dataset\train\Manual_Review\193_v1.jpg
193,train,Manual Review,2,output\tm_dataset\train\Manual_Review\193_v2.jpg
195,train,Valid,1,output\tm_dataset\train\Valid_Claim\195_v1.jpg
195,train,Valid,2,output\tm_dataset\train\Valid_Claim\195_v2.jpg
196,train,Manual Review,1,output\tm_dataset\train\Manual_Review\196_v1.jpg
196,train,Manual Review,2,output\tm_dataset\train\Manual_Review\196_v2.jpg
197,train,Manual Review,1,output\tm_dataset\train\Manual_Review\197_v1.jpg
197,train,Manual Review,2,output\tm_dataset\train\Manual_Review\197_v2.jpg
198,train,Valid,1,output\tm_dataset\train\Valid_Claim\198_v1.jpg
198,train,Valid,2,output\tm_dataset\train\Valid_Claim\198_v2.jpg
199,train,Valid,1,output\tm_dataset\train\Valid_Claim\199_v1.jpg
199,train,Valid,2,output\tm_dataset\train\Valid_Claim\199_v2.jpg
200,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\200_v1.jpg
200,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\200_v2.jpg
202,train,Valid,1,output\tm_dataset\train\Valid_Claim\202_v1.jpg
202,train,Valid,2,output\tm_dataset\train\Valid_Claim\202_v2.jpg
203,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\203_v1.jpg
203,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\203_v2.jpg
206,train,Manual Review,1,output\tm_dataset\train\Manual_Review\206_v1.jpg
206,train,Manual Review,2,output\tm_dataset\train\Manual_Review\206_v2.jpg
207,train,Manual Review,1,output\tm_dataset\train\Manual_Review\207_v1.jpg
207,train,Manual Review,2,output\tm_dataset\train\Manual_Review\207_v2.jpg
209,train,Manual Review,1,output\tm_dataset\train\Manual_Review\209_v1.jpg
209,train,Manual Review,2,output\tm_dataset\train\Manual_Review\209_v2.jpg
210,train,Valid,1,output\tm_dataset\train\Valid_Claim\210_v1.jpg
210,train,Valid,2,output\tm_dataset\train\Valid_Claim\210_v2.jpg
211,train,Valid,1,output\tm_dataset\train\Valid_Claim\211_v1.jpg
211,train,Valid,2,output\tm_dataset\train\Valid_Claim\211_v2.jpg
212,train,Valid,1,output\tm_dataset\train\Valid_Claim\212_v1.jpg
212,train,Valid,2,output\tm_dataset\train\Valid_Claim\212_v2.jpg
213,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\213_v1.jpg
213,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\213_v2.jpg
214,train,Valid,1,output\tm_dataset\train\Valid_Claim\214_v1.jpg
214,train,Valid,2,output\tm_dataset\train\Valid_Claim\214_v2.jpg
215,train,Manual Review,1,output\tm_dataset\train\Manual_Review\215_v1.jpg
215,train,Manual Review,2,output\tm_dataset\train\Manual_Review\215_v2.jpg
216,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\216_v1.jpg
216,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\216_v2.jpg
217,train,Valid,1,output\tm_dataset\train\Valid_Claim\217_v1.jpg
217,train,Valid,2,output\tm_dataset\train\Valid_Claim\217_v2.jpg
218,train,Valid,1,output\tm_dataset\train\Valid_Claim\218_v1.jpg
218,train,Valid,2,output\tm_dataset\train\Valid_Claim\218_v2.jpg
219,train,Manual Review,1,output\tm_dataset\train\Manual_Review\219_v1.jpg
219,train,Manual Review,2,output\tm_dataset\train\Manual_Review\219_v2.jpg
220,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\220_v1.jpg
220,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\220_v2.jpg
221,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\221_v1.jpg
221,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\221_v2.jpg
223,train,Valid,1,output\tm_dataset\train\Valid_Claim\223_v1.jpg
223,train,Valid,2,output\tm_dataset\train\Valid_Claim\223_v2.jpg
224,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\224_v1.jpg
224,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\224_v2.jpg
226,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\226_v1.jpg
226,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\226_v2.jpg
227,train,Manual Review,1,output\tm_dataset\train\Manual_Review\227_v1.jpg
227,train,Manual Review,2,output\tm_dataset\train\Manual_Review\227_v2.jpg
229,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\229_v1.jpg
229,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\229_v2.jpg
231,train,Manual Review,1,output\tm_dataset\train\Manual_Review\231_v1.jpg
231,train,Manual Review,2,output\tm_dataset\train\Manual_Review\231_v2.jpg
232,train,Manual Review,1,output\tm_dataset\train\Manual_Review\232_v1.jpg
232,train,Manual Review,2,output\tm_dataset\train\Manual_Review\232_v2.jpg
233,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\233_v1.jpg
233,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\233_v2.jpg
234,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\234_v1.jpg
234,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\234_v2.jpg
235,train,Manual Review,1,output\tm_dataset\train\Manual_Review\235_v1.jpg
235,train,Manual Review,2,output\tm_dataset\train\Manual_Review\235_v2.jpg
238,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\238_v1.jpg
238,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\238_v2.jpg
239,train,Valid,1,output\tm_dataset\train\Valid_Claim\239_v1.jpg
239,train,Valid,2,output\tm_dataset\train\Valid_Claim\239_v2.jpg
240,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\240_v1.jpg
240,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\240_v2.jpg
242,train,Manual Review,1,output\tm_dataset\train\Manual_Review\242_v1.jpg
242,train,Manual Review,2,output\tm_dataset\train\Manual_Review\242_v2.jpg
243,train,Valid,1,output\tm_dataset\train\Valid_Claim\243_v1.jpg
243,train,Valid,2,output\tm_dataset\train\Valid_Claim\243_v2.jpg
244,train,Manual Review,1,output\tm_dataset\train\Manual_Review\244_v1.jpg
244,train,Manual Review,2,output\tm_dataset\train\Manual_Review\244_v2.jpg
245,train,Manual Review,1,output\tm_dataset\train\Manual_Review\245_v1.jpg
245,train,Manual Review,2,output\tm_dataset\train\Manual_Review\245_v2.jpg
246,train,Manual Review,1,output\tm_dataset\train\Manual_Review\246_v1.jpg
246,train,Manual Review,2,output\tm_dataset\train\Manual_Review\246_v2.jpg
247,train,Invalid,1,output\tm_dataset\train\Invalid_Claim\247_v1.jpg
247,train,Invalid,2,output\tm_dataset\train\Invalid_Claim\247_v2.jpg
248,train,Valid,1,output\tm_dataset\train\Valid_Claim\248_v1.jpg
248,train,Valid,2,output\tm_dataset\train\Valid_Claim\248_v2.jpg
249,train,Manual Review,1,output\tm_dataset\train\Manual_Review\249_v1.jpg
