claim_id,product_category,product_age_months,warranty_period_months,receipt_available,serial_number_valid,damage_type,repair_history,purchase_price,claim_amount,days_since_purchase,claim_status
36,Refrigerator,51,36,1,0,Water Damage,3,1363.58,1053.87,1529,Invalid
37,Washing Machine,29,24,0,0,Water Damage,1,1589.39,384.07,871,Invalid
38,Refrigerator,42,36,0,0,Unknown,4,629.7,277.84,1266,Invalid
39,Washing Machine,16,36,1,1,Manufacturing Defect,2,760.21,143.43,477,Valid
40,TV,29,36,0,1,Physical Damage,1,281.62,169.63,858,Manual Review
41,Smartphone,5,24,1,0,Unknown,1,206.35,136.67,136,Manual Review
42,Laptop,25,24,1,1,Unknown,2,820.05,419.31,756,Invalid
43,TV,58,24,1,0,Battery Failure,1,1508.62,1072.81,1735,Manual Review
44,Laptop,9,24,1,1,Battery Failure,2,1646.99,936.77,261,Valid
45,Tablet,18,36,1,1,Electrical Failure,1,815.31,357.92,553,Valid
46,TV,47,24,1,1,Screen Damage,2,383.78,320.95,1406,Manual Review
47,Washing Machine,9,12,1,1,Battery Failure,0,1060.19,353.41,259,Valid
48,Refrigerator,55,36,0,0,Water Damage,1,1845.1,648.52,1650,Invalid
49,Headphones,6,24,1,1,Software Failure,0,286.88,58.8,170,Valid
50,Washing Machine,51,24,0,1,Screen Damage,1,1263.68,677.33,1534,Manual Review
51,Refrigerator,12,12,1,1,Manufacturing Defect,0,1760.74,1297.46,366,Valid
52,Camera,48,24,0,1,Physical Damage,4,1760.8,725.01,1440,Invalid
53,Camera,1,12,1,1,Manufacturing Defect,1,620.47,157.7,37,Valid
54,Tablet,25,24,0,0,Unknown,3,465.04,302.15,752,Invalid
55,Laptop,35,12,1,0,Unknown,2,1998.96,770.21,1045,Invalid
56,Refrigerator,38,12,1,1,Water Damage,4,2275.81,2401.47,1147,Manual Review
57,Headphones,47,24,0,0,Water Damage,4,141.27,97.87,1411,Invalid
58,TV,50,24,1,0,Physical Damage,3,1893.49,711.77,1503,Invalid
59,Headphones,38,36,0,0,Water Damage,2,455.19,247.11,1151,Invalid
60,Laptop,38,24,0,0,Physical Damage,2,2451.91,1860.54,1144,Invalid
61,Camera,4,36,1,1,Software Failure,2,452.02,151.13,121,Valid
62,Laptop,55,36,0,0,Unknown,4,750.3,538.7,1640,Invalid
63,Camera,4,12,1,1,Battery Failure,2,963.42,729.64,121,Valid
64,Tablet,55,12,0,1,Screen Damage,1,733.12,434.36,1659,Manual Review
65,Washing Machine,14,12,0,0,Water Damage,3,809.73,488.42,422,Invalid
66,Washing Machine,31,12,0,1,Screen Damage,3,891.07,739.5,921,Manual Review
67,Smartphone,54,12,0,0,Physical Damage,3,1351.61,718.75,1619,Invalid
68,Camera,32,12,0,0,Physical Damage,2,1304.54,605.74,951,Invalid
69,Smartphone,53,36,0,0,Water Damage,3,472.36,303.83,1598,Invalid
70,Smartphone,13,36,1,1,Electrical Failure,0,525.56,229.62,402,Valid
71,Tablet,30,24,0,1,Water Damage,1,208.66,207.97,889,Manual Review
72,Refrigerator,1,12,1,1,Manufacturing Defect,0,1331.21,1034.18,19,Valid
73,Headphones,15,12,0,0,Unknown,1,129.49,49.71,455,Invalid
74,Smartphone,36,24,1,0,Electrical Failure,4,969.61,561.42,1092,Manual Review
75,Washing Machine,5,12,0,1,Physical Damage,3,1444.72,1570.54,149,Manual Review
76,Tablet,53,24,0,1,Unknown,0,763.96,619.83,1597,Manual Review
77,Laptop,51,12,1,0,Screen Damage,3,1663.13,1061.65,1525,Manual Review
78,Washing Machine,50,36,0,0,Physical Damage,2,1021.0,593.96,1492,Invalid
79,Smartphone,6,24,1,1,Electrical Failure,2,268.98,212.45,192,Valid
80,Tablet,2,12,1,1,Battery Failure,0,702.78,171.44,71,Valid
81,Camera,40,24,0,1,Physical Damage,4,519.45,344.58,1204,Invalid
82,Laptop,50,12,1,0,Water Damage,4,1346.86,524.59,1490,Invalid
83,Laptop,3,12,1,1,Electrical Failure,1,414.34,332.25,87,Valid
84,Tablet,59,36,0,0,Physical Damage,1,971.71,523.78,1766,Invalid
85,Smartphone,27,24,0,0,Electrical Failure,4,777.65,778.07,797,Manual Review
86,Tablet,34,12,1,0,Software Failure,3,644.02,391.26,1005,Manual Review
87,Laptop,50,24,1,0,Battery Failure,4,819.99,557.03,1487,Manual Review
88,Laptop,28,36,1,1,Software Failure,0,778.55,289.58,831,Valid
89,Headphones,9,36,1,1,Screen Damage,0,233.16,178.75,263,Manual Review
90,Headphones,7,36,0,0,Electrical Failure,0,495.27,452.69,199,Manual Review
91,Washing Machine,11,12,1,1,Manufacturing Defect,2,1393.93,839.87,325,Valid
92,Refrigerator,40,36,1,0,Screen Damage,1,2011.84,1502.16,1200,Manual Review
93,Tablet,40,24,0,0,Water Damage,1,1018.59,276.97,1199,Invalid
94,Headphones,11,24,0,0,Electrical Failure,2,435.15,242.27,325,Manual Review
95,Smartphone,35,36,1,1,Electrical Failure,1,849.89,119.54,1054,Valid
96,Headphones,37,36,0,1,Water Damage,1,126.73,37.07,1121,Invalid
97,Laptop,4,24,1,0,Battery Failure,2,1262.81,1282.79,110,Manual Review
98,Laptop,13,24,1,1,Electrical Failure,2,1737.17,793.89,397,Valid
99,Washing Machine,7,24,1,1,Software Failure,0,496.32,148.5,215,Valid
100,Refrigerator,7,36,0,0,Software Failure,3,2092.78,1273.25,216,Manual Review
101,Tablet,23,24,1,1,Battery Failure,1,305.1,44.14,697,Valid
102,Laptop,47,36,0,1,Unknown,1,734.68,477.82,1412,Invalid
103,TV,24,12,1,1,Unknown,4,1766.86,1027.44,733,Invalid
104,Headphones,4,24,0,1,Electrical Failure,3,415.53,452.77,131,Manual Review
105,Laptop,35,36,0,1,Screen Damage,4,1724.84,1198.1,1047,Manual Review
106,Headphones,57,24,0,0,Unknown,1,44.85,34.39,1708,Invalid
107,TV,7,12,1,1,Software Failure,1,888.46,512.43,206,Valid
108,Washing Machine,38,24,0,1,Water Damage,3,1528.39,864.51,1143,Manual Review
109,Laptop,47,12,1,1,Water Damage,1,1130.03,1097.75,1404,Manual Review
110,Headphones,25,24,0,1,Water Damage,2,302.35,99.51,763,Invalid
111,Headphones,59,36,1,1,Water Damage,3,334.83,109.44,1777,Invalid
112,Smartphone,3,24,1,1,Software Failure,1,1459.75,499.9,87,Valid
113,Smartphone,32,36,1,1,Software Failure,0,625.63,347.41,965,Valid
114,Laptop,14,24,1,1,Battery Failure,2,1438.19,894.94,412,Valid
115,Refrigerator,34,12,0,0,Screen Damage,0,1945.99,1328.65,1019,Manual Review
116,Headphones,13,24,1,0,Software Failure,1,387.95,383.45,391,Manual Review
117,TV,10,12,1,1,Electrical Failure,1,401.79,195.45,306,Valid
118,Laptop,40,24,0,0,Unknown,4,2135.52,435.77,1213,Invalid
119,Laptop,32,36,1,0,Water Damage,4,1012.83,730.77,955,Manual Review
120,TV,16,36,1,1,Software Failure,2,1855.2,1321.3,466,Valid
121,Headphones,60,12,0,1,Physical Damage,0,187.01,153.27,1799,Manual Review
122,Refrigerator,44,36,0,0,Physical Damage,1,2299.47,681.86,1327,Invalid
123,Laptop,43,24,0,0,Water Damage,4,1027.63,578.06,1287,Invalid
124,Headphones,45,36,0,1,Unknown,3,382.58,144.81,1339,Invalid
125,Refrigerator,31,24,1,1,Software Failure,2,1120.46,1018.63,925,Manual Review
126,Washing Machine,55,12,0,0,Physical Damage,1,398.25,293.62,1644,Invalid
127,Refrigerator,24,12,1,0,Water Damage,3,493.83,72.74,720,Invalid
128,Camera,46,36,1,0,Unknown,3,271.74,209.29,1392,Invalid
129,Tablet,40,12,0,1,Unknown,4,968.74,942.83,1193,Manual Review
130,TV,8,36,1,1,Electrical Failure,0,1481.6,921.14,237,Valid
131,Headphones,12,36,1,1,Software Failure,2,345.89,187.69,355,Valid
132,Camera,29,12,0,0,Physical Damage,2,1773.77,744.86,877,Invalid
133,Tablet,49,24,1,1,Battery Failure,0,982.35,1055.64,1459,Manual Review
134,Smartphone,24,24,1,1,Software Failure,2,1040.92,556.83,732,Valid
135,Laptop,7,12,1,1,Manufacturing Defect,1,666.47,500.04,222,Valid
136,Tablet,52,36,0,1,Unknown,4,819.82,235.74,1570,Invalid
137,Laptop,58,12,0,1,Unknown,3,771.12,533.82,1748,Manual Review
138,Tablet,18,24,1,0,Screen Damage,2,834.52,771.81,539,Manual Review
139,Camera,19,24,1,1,Manufacturing Defect,0,1502.56,1246.05,569,Valid
140,Washing Machine,32,24,0,0,Water Damage,1,1139.44,878.29,948,Invalid
141,Laptop,8,12,1,1,Battery Failure,1,1994.94,1308.1,252,Valid
142,Refrigerator,60,36,1,0,Electrical Failure,3,1505.8,839.67,1807,Manual Review
143,Camera,39,24,1,0,Battery Failure,0,674.73,402.14,1177,Manual Review
144,Washing Machine,45,36,1,0,Water Damage,4,1136.34,552.8,1340,Invalid
145,Smartphone,5,12,1,1,Manufacturing Defect,1,1485.28,465.52,152,Valid
146,Laptop,26,24,0,1,Physical Damage,3,1252.67,749.4,778,Invalid
147,Laptop,28,24,0,0,Water Damage,4,1730.44,208.06,854,Invalid
148,Laptop,2,36,1,1,Battery Failure,1,1336.82,623.75,75,Valid
149,Washing Machine,11,36,1,1,Manufacturing Defect,1,1388.98,790.61,339,Valid
150,Smartphone,1,36,1,1,Electrical Failure,0,961.54,563.01,15,Valid
151,Smartphone,44,36,1,1,Electrical Failure,0,1442.73,1399.2,1333,Manual Review
152,Smartphone,55,36,0,0,Unknown,3,1452.69,653.39,1660,Invalid
153,Camera,32,24,0,0,Physical Damage,1,687.87,494.35,953,Invalid
154,Camera,41,24,0,0,Unknown,2,1474.3,1056.52,1231,Invalid
155,Laptop,23,12,0,0,Physical Damage,4,2107.58,657.48,694,Invalid
156,Laptop,46,24,0,0,Unknown,1,974.41,100.66,1389,Invalid
157,Washing Machine,47,24,1,1,Physical Damage,2,1684.3,210.08,1418,Invalid
158,Smartphone,43,36,1,0,Unknown,2,738.31,409.63,1295,Invalid
159,Headphones,28,36,0,0,Water Damage,0,54.97,34.73,826,Manual Review
160,Washing Machine,41,12,0,0,Unknown,1,772.21,123.05,1239,Invalid
161,Refrigerator,31,36,1,1,Battery Failure,0,969.38,698.89,932,Valid
162,Refrigerator,13,36,1,1,Electrical Failure,0,1760.03,894.84,404,Valid
163,Camera,41,36,0,0,Water Damage,0,1998.72,1738.51,1224,Manual Review
164,Refrigerator,35,12,0,1,Screen Damage,2,1161.92,1027.26,1045,Manual Review
165,Headphones,4,12,1,1,Software Failure,2,247.62,51.57,106,Valid
166,Washing Machine,18,12,0,0,Physical Damage,1,641.47,322.32,533,Invalid
167,Tablet,47,24,0,1,Water Damage,3,173.14,40.23,1420,Invalid
168,Headphones,34,36,1,1,Software Failure,0,396.72,300.9,1025,Valid
169,Tablet,25,24,0,0,Physical Damage,4,970.14,724.75,764,Invalid
170,Laptop,5,12,1,1,Manufacturing Defect,2,1055.11,125.83,156,Valid
171,TV,58,24,1,1,Screen Damage,1,399.99,219.15,1728,Manual Review
172,Camera,39,36,0,1,Water Damage,2,987.48,231.25,1166,Invalid
173,Laptop,45,12,0,1,Unknown,3,1374.96,617.37,1345,Invalid
174,TV,33,12,0,1,Unknown,2,425.03,286.33,993,Manual Review
175,Refrigerator,38,36,0,1,Water Damage,2,603.95,466.5,1148,Invalid
176,TV,31,24,0,1,Battery Failure,3,597.5,400.06,943,Manual Review
177,Headphones,32,36,1,1,Manufacturing Defect,0,316.17,262.38,952,Valid
178,Headphones,7,12,1,1,Software Failure,2,485.71,310.7,214,Valid
179,Refrigerator,20,24,1,1,Electrical Failure,0,2294.85,1886.4,611,Valid
180,Refrigerator,38,36,1,0,Water Damage,4,2302.72,962.13,1143,Invalid
181,Camera,4,12,1,1,Battery Failure,1,1187.15,165.17,116,Valid
182,Laptop,48,36,1,1,Water Damage,3,964.47,609.91,1443,Manual Review
183,Refrigerator,8,12,1,1,Software Failure,2,2445.36,2077.83,228,Valid
184,Tablet,59,36,0,1,Electrical Failure,3,818.24,610.55,1774,Manual Review
185,Camera,15,12,1,1,Screen Damage,2,1502.84,1171.5,463,Manual Review
186,Camera,23,24,0,1,Water Damage,2,1999.98,1142.82,703,Manual Review
187,Washing Machine,11,12,1,1,Software Failure,2,1267.24,983.72,316,Valid
188,Smartphone,2,12,0,1,Electrical Failure,1,537.24,382.51,74,Manual Review
189,TV,32,24,1,1,Water Damage,1,1009.61,954.38,961,Manual Review
190,Laptop,30,12,0,0,Battery Failure,2,779.32,512.17,887,Manual Review
191,Washing Machine,32,36,1,1,Screen Damage,0,1761.34,1478.09,969,Manual Review
192,Smartphone,45,36,0,0,Unknown,3,1407.38,215.64,1350,Invalid
193,Camera,27,36,1,1,Battery Failure,1,1622.89,1176.26,801,Manual Review
194,Refrigerator,1,12,0,1,Screen Damage,3,918.36,792.46,25,Manual Review
195,Washing Machine,58,24,1,0,Battery Failure,2,991.21,774.13,1735,Manual Review
196,Headphones,6,12,0,0,Electrical Failure,3,184.5,114.33,175,Manual Review
197,Laptop,57,24,0,0,Physical Damage,4,1660.72,478.18,1697,Invalid
198,Headphones,59,12,0,0,Software Failure,2,437.38,441.43,1781,Manual Review
199,Washing Machine,60,12,0,1,Electrical Failure,2,1192.34,722.72,1802,Manual Review
200,Camera,42,36,0,0,Water Damage,2,2026.89,349.84,1260,Invalid
201,Headphones,32,24,0,1,Water Damage,1,218.77,69.06,971,Invalid
202,Tablet,30,36,1,1,Electrical Failure,2,291.6,69.02,907,Valid
203,Tablet,8,12,1,1,Software Failure,1,567.36,321.95,227,Valid
204,Headphones,54,12,1,0,Unknown,1,240.0,174.78,1617,Manual Review
205,Headphones,45,36,0,0,Unknown,3,38.82,25.0,1350,Invalid
206,Tablet,55,12,0,0,Physical Damage,1,587.8,78.95,1640,Invalid
207,Tablet,50,36,0,1,Battery Failure,3,466.12,388.08,1487,Manual Review
208,Refrigerator,44,36,0,1,Water Damage,3,2431.43,1918.03,1324,Invalid
209,Washing Machine,52,36,1,1,Unknown,2,1240.8,542.29,1573,Invalid
210,Washing Machine,51,36,0,1,Water Damage,1,1544.83,523.62,1545,Invalid
211,TV,11,12,1,1,Manufacturing Defect,2,1481.59,644.58,317,Valid
212,TV,11,12,1,1,Electrical Failure,0,862.7,634.48,332,Valid
213,TV,4,36,1,1,Electrical Failure,0,1512.07,745.71,129,Valid
214,Washing Machine,40,24,1,0,Manufacturing Defect,2,1005.75,520.07,1208,Manual Review
215,Tablet,6,36,1,1,Software Failure,2,800.22,478.44,167,Valid
216,Camera,46,36,1,0,Unknown,1,1321.68,821.17,1368,Invalid
217,TV,56,12,0,1,Water Damage,3,429.74,136.86,1681,Invalid
218,Headphones,1,24,0,0,Screen Damage,0,344.33,273.24,31,Manual Review
219,Tablet,1,36,1,1,Manufacturing Defect,1,994.32,262.63,37,Valid
220,Laptop,42,12,0,0,Water Damage,3,561.59,432.86,1250,Invalid
221,Laptop,19,24,1,1,Battery Failure,1,1315.72,175.37,571,Valid
222,Camera,22,24,1,1,Electrical Failure,2,1161.41,259.9,649,Valid
223,Camera,21,36,1,1,Electrical Failure,1,984.1,208.54,639,Valid
224,Laptop,33,12,1,1,Unknown,1,1462.74,953.21,989,Manual Review
225,Smartphone,41,24,1,0,Unknown,1,1032.32,581.59,1215,Invalid
226,Washing Machine,42,24,0,1,Physical Damage,4,691.66,347.51,1258,Invalid
227,TV,24,36,1,0,Software Failure,0,1454.51,735.66,727,Manual Review
228,Camera,7,24,1,1,Manufacturing Defect,1,663.61,111.99,215,Valid
229,Laptop,40,12,1,0,Manufacturing Defect,0,1186.08,907.25,1205,Manual Review
230,Camera,7,36,1,1,Manufacturing Defect,2,2134.65,1813.54,221,Valid
231,Tablet,11,36,1,1,Electrical Failure,1,480.31,98.57,329,Valid
232,Smartphone,16,24,1,1,Battery Failure,2,1400.15,1150.36,493,Valid
233,Washing Machine,5,12,1,1,Battery Failure,2,920.34,451.83,143,Valid
234,Camera,57,36,0,1,Battery Failure,0,2115.11,1342.49,1704,Manual Review
235,Laptop,20,36,1,1,Manufacturing Defect,2,1129.13,775.69,598,Valid
236,Laptop,28,12,0,1,Battery Failure,0,1971.11,1177.26,830,Manual Review
237,Refrigerator,2,24,1,1,Software Failure,0,1800.56,1101.13,56,Valid
238,Tablet,37,12,1,0,Software Failure,2,1049.85,777.48,1124,Manual Review
239,Smartphone,21,36,1,1,Electrical Failure,0,640.02,117.7,641,Valid
240,TV,4,36,0,0,Electrical Failure,4,1024.13,709.7,105,Manual Review
241,Laptop,53,12,0,0,Physical Damage,0,2156.62,1740.23,1579,Manual Review
242,Washing Machine,20,24,1,1,Electrical Failure,0,906.12,867.46,615,Manual Review
243,Refrigerator,36,12,0,1,Water Damage,2,2349.65,1313.51,1091,Invalid
244,Laptop,46,24,0,0,Physical Damage,2,570.01,371.3,1393,Invalid
245,Refrigerator,14,36,1,1,Manufacturing Defect,1,403.32,399.22,407,Manual Review
246,TV,22,24,1,1,Manufacturing Defect,2,1387.32,1170.56,646,Valid
247,Washing Machine,28,36,1,1,Software Failure,2,1721.86,1437.79,827,Valid
248,Headphones,8,12,1,1,Software Failure,1,459.01,287.55,249,Valid
249,Refrigerator,53,36,0,0,Water Damage,4,1905.4,377.87,1598,Invalid
250,TV,6,24,1,1,Manufacturing Defect,1,1752.54,1321.63,172,Valid
251,Headphones,51,36,0,0,Physical Damage,1,380.26,299.06,1515,Invalid
252,Camera,43,24,0,1,Screen Damage,1,1494.85,1310.18,1293,Manual Review
253,Headphones,24,24,1,1,Battery Failure,2,462.35,305.71,724,Valid
254,Laptop,52,36,0,0,Electrical Failure,3,2189.26,1864.84,1554,Manual Review
255,Headphones,50,12,1,1,Water Damage,2,305.47,333.62,1486,Manual Review
256,Refrigerator,4,12,1,1,Software Failure,0,1034.76,383.54,127,Valid
257,Headphones,44,24,0,1,Physical Damage,2,136.59,89.12,1316,Invalid
258,Washing Machine,58,36,1,0,Physical Damage,1,320.81,60.17,1728,Invalid
259,Washing Machine,5,36,0,0,Software Failure,3,319.1,186.71,150,Manual Review
260,Smartphone,16,12,0,1,Battery Failure,4,1454.59,739.07,495,Manual Review
261,TV,55,36,1,0,Battery Failure,2,1265.67,1204.11,1660,Manual Review
262,Headphones,22,24,1,1,Electrical Failure,1,238.61,150.95,650,Valid
263,Smartphone,26,36,1,1,Software Failure,2,184.36,37.78,780,Valid
264,Laptop,13,36,1,1,Unknown,4,2303.23,2412.91,401,Manual Review
265,Headphones,33,24,1,0,Physical Damage,4,30.64,18.16,995,Invalid
266,Tablet,56,36,1,1,Manufacturing Defect,2,1195.53,682.11,1688,Manual Review
267,Headphones,15,24,0,1,Physical Damage,4,464.52,442.26,456,Manual Review
268,TV,10,24,1,1,Battery Failure,1,1481.19,1074.32,304,Valid
269,Tablet,57,36,0,0,Physical Damage,3,496.32,102.3,1707,Invalid
270,Headphones,3,24,1,1,Manufacturing Defect,1,313.75,204.22,75,Valid
271,Laptop,51,12,0,1,Unknown,1,651.95,388.34,1542,Invalid
272,Laptop,57,24,0,0,Electrical Failure,4,2002.2,1196.15,1725,Manual Review
273,Washing Machine,14,12,0,0,Water Damage,3,1639.52,327.45,413,Invalid
274,Headphones,13,36,1,1,Software Failure,1,57.81,18.16,399,Valid
275,Headphones,35,36,0,1,Screen Damage,4,277.66,257.93,1059,Manual Review
276,Tablet,2,24,1,1,Manufacturing Defect,2,1141.29,364.19,65,Valid
277,TV,49,24,0,0,Physical Damage,1,1645.29,497.13,1467,Invalid
278,Headphones,54,36,0,0,Water Damage,1,259.78,159.72,1605,Invalid
279,Refrigerator,59,24,1,0,Water Damage,2,631.75,123.59,1769,Invalid
280,Camera,58,24,1,1,Electrical Failure,4,1202.2,652.79,1748,Manual Review
281,TV,54,36,0,0,Physical Damage,0,676.9,422.82,1629,Manual Review
282,TV,25,12,1,0,Water Damage,3,1114.52,555.45,752,Invalid
283,Refrigerator,54,36,1,0,Physical Damage,1,1078.3,752.33,1632,Invalid
284,Tablet,6,36,1,1,Manufacturing Defect,1,902.78,359.87,180,Valid
285,Washing Machine,9,24,1,1,Software Failure,1,1005.8,742.69,282,Valid
286,Refrigerator,15,12,1,0,Unknown,2,1815.45,963.34,446,Invalid
287,Laptop,14,24,1,1,Manufacturing Defect,1,1645.58,1001.6,421,Valid
288,Washing Machine,39,36,0,0,Screen Damage,2,1666.01,1782.55,1175,Manual Review
289,Laptop,11,12,1,1,Software Failure,2,1988.56,816.28,322,Valid
290,Camera,4,12,1,1,Electrical Failure,1,617.54,133.6,133,Valid
291,Washing Machine,51,24,1,0,Unknown,3,1144.72,602.0,1521,Invalid
292,TV,4,24,0,1,Software Failure,0,701.51,536.14,130,Manual Review
293,TV,10,12,1,1,Battery Failure,0,1421.55,276.73,303,Valid
294,Camera,47,36,1,1,Electrical Failure,2,1501.12,1255.94,1401,Manual Review
295,Tablet,52,36,1,1,Unknown,2,948.01,646.1,1552,Manual Review
296,Headphones,4,24,1,1,Manufacturing Defect,0,246.32,251.43,106,Manual Review
297,Laptop,42,24,0,1,Physical Damage,1,2221.56,251.82,1265,Invalid
298,Tablet,2,24,1,1,Battery Failure,2,498.59,410.85,48,Valid
299,Laptop,28,36,1,1,Software Failure,2,1316.43,908.1,841,Valid
300,Washing Machine,23,12,1,0,Physical Damage,2,362.99,38.57,700,Invalid
301,Refrigerator,4,12,1,1,Software Failure,0,1230.83,728.13,134,Valid
302,Washing Machine,1,36,1,1,Software Failure,0,864.41,578.46,38,Valid
303,Refrigerator,2,36,1,1,Electrical Failure,1,2044.1,1687.0,69,Valid
304,Camera,26,12,1,0,Physical Damage,3,1653.65,323.26,785,Invalid
305,Tablet,15,36,1,1,Electrical Failure,0,510.75,54.16,438,Valid
306,Refrigerator,44,24,0,1,Unknown,2,895.53,699.67,1318,Invalid
307,Laptop,27,36,1,0,Unknown,1,1741.72,1533.72,813,Manual Review
308,Tablet,11,36,1,1,Battery Failure,2,804.64,542.73,345,Manual Review
309,Laptop,51,24,0,0,Water Damage,3,1580.9,1143.11,1535,Invalid
310,Laptop,10,36,1,1,Software Failure,1,2046.97,731.38,301,Valid
311,Washing Machine,30,12,1,0,Screen Damage,3,618.26,414.34,891,Manual Review
312,Smartphone,55,12,1,1,Physical Damage,1,889.72,973.92,1645,Manual Review
313,Headphones,59,12,1,0,Battery Failure,2,473.8,409.01,1759,Manual Review
314,Refrigerator,57,12,0,0,Water Damage,1,2436.11,743.55,1712,Invalid
315,Laptop,28,12,0,1,Unknown,2,1840.08,1274.94,850,Invalid
316,Refrigerator,4,12,1,1,Electrical Failure,2,829.29,117.0,135,Valid
317,Laptop,59,36,0,0,Unknown,4,693.88,426.55,1761,Invalid
318,Headphones,5,12,1,1,Battery Failure,0,446.32,309.45,145,Valid
319,Washing Machine,40,12,1,0,Electrical Failure,1,308.93,229.15,1210,Manual Review
320,Smartphone,32,12,0,1,Water Damage,4,237.65,164.05,960,Invalid
321,Refrigerator,57,36,0,1,Water Damage,2,1771.88,361.07,1696,Invalid
322,Laptop,56,24,0,0,Water Damage,4,678.7,519.17,1674,Invalid
323,Camera,17,12,1,1,Unknown,3,2197.51,495.56,510,Invalid
324,Smartphone,31,24,0,0,Physical Damage,4,280.01,192.45,938,Invalid
325,Laptop,35,36,1,1,Manufacturing Defect,2,2009.25,708.41,1039,Valid
326,Washing Machine,1,36,0,1,Manufacturing Defect,0,756.44,400.01,23,Manual Review
327,Camera,6,36,0,0,Software Failure,4,1254.05,821.03,184,Manual Review
328,Camera,37,12,0,1,Manufacturing Defect,4,2027.7,2215.82,1104,Manual Review
329,Smartphone,39,12,1,0,Physical Damage,0,232.07,249.12,1177,Manual Review
330,Smartphone,5,24,1,1,Battery Failure,2,385.57,111.04,156,Valid
331,Tablet,16,36,1,1,Battery Failure,1,1189.0,457.28,485,Valid
332,Smartphone,44,12,0,0,Water Damage,1,849.15,482.33,1330,Invalid
333,Smartphone,30,36,1,1,Manufacturing Defect,1,545.79,86.84,905,Valid
334,Headphones,58,36,1,0,Battery Failure,0,113.49,102.7,1751,Manual Review
335,Laptop,1,24,1,1,Electrical Failure,0,1601.74,355.88,45,Valid
336,Smartphone,8,36,1,1,Software Failure,2,546.23,193.98,230,Valid
337,Refrigerator,26,24,0,0,Unknown,1,573.08,201.36,791,Invalid
338,TV,42,36,0,0,Screen Damage,3,272.97,146.36,1251,Manual Review
339,Smartphone,36,36,1,1,Software Failure,2,1335.47,237.3,1073,Valid
340,Washing Machine,1,24,1,1,Software Failure,1,427.05,166.91,43,Valid
341,Camera,37,12,0,1,Physical Damage,4,1286.54,909.25,1100,Invalid
342,Camera,1,12,1,1,Manufacturing Defect,1,1414.0,729.15,40,Valid
343,Refrigerator,51,36,1,1,Physical Damage,2,1460.0,924.71,1529,Invalid
344,Camera,23,36,1,1,Electrical Failure,2,920.87,631.79,693,Valid
